EAN,ITEM SKU,PRODUCT NAME,BRAND NAME,REQUIRED PRICE TO AMAZON
737052079097,4228,Light Blue Pour Homme,Dolce&Gabbana,70.61
5012874248872,4232,Intimately,David Beckham,20.26
763511009824,4251,DKNY Be Delicious,DKNY,83.08
3423470300161,4307,L´Eau D´Issey,Issey Miyake,84.61
3351500980086,4333,Pour Homme,Azzaro,70.25
3414202000534,4365,Zino,Davidoff,38.23
88300196852,4390,CK IN2U,Calvin Klein,26.81
3616301390503,4403,Cool Water,Davidoff,13.38
3414200064064,4413,Go,JOOP!,33.58
85805466343,4437,Green Tea,Elizabeth Arden,18.55
3357554700014,4515,Vanderbilt,Gloria Vanderbilt,12.67
3357554720012,4559,Vanderbilt,Gloria Vanderbilt,14.55
3147758030297,4605,Tonique Confort  Dry Skin,Lancôme,58.55
20714287047,5801,All About Eyes Rich,Clinique,48.29
8595562293929,5818,Moschino Femme,Moschino,23.44
3360375006432,5821,Code,Giorgio Armani,126.59
737052020778,5871,The One,Dolce&Gabbana,72.69
3423470300154,5935,L´Eau D´Issey,Issey Miyake,63.95
3331438921108,5977,Sea & Sun in Cadaques,Salvador Dali,20.99
3392865191175,6004,For Her,Jacomo,44.33
3386461515640,6049,Arpege,Lanvin,43.38
3137370212058,6052,L´Air Du Temps,Nina Ricci,46.47
3616303322137,6073,Team Force,Adidas,11.07
85805015268,6132,Red Door Revealed,Elizabeth Arden,42.23
716393009581,6134,Giorgio,Giorgio Beverly Hills,33.46
8011003060320,6145,Moschino Femme,Moschino,53.22
716393009659,6146,Red,Giorgio Beverly Hills,32.16
3412245810028,6156,Pure Lightness For Women,Adidas,11.96
31655644851,6166,Man,Calvin Klein,47.54
31655644295,6167,Man,Calvin Klein,26.08
737052139531,6171,Light Blue Pour Homme,Dolce&Gabbana,63.76
3386460004749,6177,Brit for Her Sheer,Burberry,54.65
3605520386442,6189,Fuel For Life Homme,Diesel,39.6
3605520386503,6217,Fuel For Life Homme,Diesel,46.79
737052130729,6225,Hugo XX Woman,HUGO BOSS,72.17
737052130934,6227,Hugo XY Man,HUGO BOSS,71.91
85805063665,6230,Mediterranean,Elizabeth Arden,34.08
3349666005330,6239,Black XS,Paco Rabanne,79.22
3616301297239,6308,Euphoria,Calvin Klein,85.0
8595562299051,6330,Le Male,Jean Paul Gaultier,89.69
608940526422,6341,Gold,GUESS,34.93
3352818560021,6434,Flower By Kenzo,KENZO,39.92
